band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_A,12 mm steel,1,108.2,7.011,26.5,0.8,0.268,1.08,10.591182,,0.1857915,0.532,2.817254412,2.461737375,0.8738072658664807
band_A,12 mm steel,2,108.2,7.011,26.6,0.8,0.268,1.08,10.591182,,0.1864926,0.532,2.817254412,2.4803515800000002,0.8804144806500351
band_A,12 mm steel,3,108.2,7.011,26.4,0.8,0.268,1.08,10.591182,,0.1850904,0.532,2.817254412,2.4431932799999996,0.8672249370143145
band_A,12 mm steel,4,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,5,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,6,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,7,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,8,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,9,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,10,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,11,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,12,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,13,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,14,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,15,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,16,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,17,108.2,7.011,26.4,0.8,0.268,1.08,10.591182,,0.1850904,0.532,2.817254412,2.4431932799999996,0.8672249370143145
band_A,12 mm steel,18,108.2,7.011,26.4,0.8,0.268,1.08,10.591182,,0.1850904,0.532,2.817254412,2.4431932799999996,0.8672249370143145
band_A,12 mm steel,19,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,20,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,11 mm steel,1,83.6,5.417,29.4,0.8,0.268,1.08,10.591182,,0.15925979999999998,0.532,2.817254412,2.3411190599999996,0.8309931293489441
band_A,11 mm steel,2,83.6,5.417,29.4,0.8,0.268,1.08,10.591182,,0.15925979999999998,0.532,2.817254412,2.3411190599999996,0.8309931293489441
band_A,11 mm steel,3,83.8,5.43,29.5,0.8,0.268,1.08,10.591182,,0.160185,0.532,2.817254412,2.36272875,0.8386636080632394
band_A,11 mm steel,4,83.8,5.43,29.4,0.8,0.268,1.08,10.591182,,0.15964199999999998,0.532,2.817254412,2.3467374,0.8329873901356409
band_A,11 mm steel,5,83.6,5.417,29.3,0.8,0.268,1.08,10.591182,,0.1587181,0.532,2.817254412,2.325220165,0.8253497288337905
band_A,11 mm steel,6,83.8,5.43,29.3,0.8,0.268,1.08,10.591182,,0.159099,0.532,2.817254412,2.33080035,0.8273304462926865
band_A,11 mm steel,7,83.6,5.417,29.3,0.8,0.268,1.08,10.591182,,0.1587181,0.532,2.817254412,2.325220165,0.8253497288337905
band_A,11 mm steel,8,83.8,5.43,29.3,0.8,0.268,1.08,10.591182,,0.159099,0.532,2.817254412,2.33080035,0.8273304462926865
band_A,11 mm steel,9,83.6,5.417,29.3,0.8,0.268,1.08,10.591182,,0.1587181,0.532,2.817254412,2.325220165,0.8253497288337905
band_A,11 mm steel,10,83.6,5.417,29.3,0.8,0.268,1.08,10.591182,,0.1587181,0.532,2.817254412,2.325220165,0.8253497288337905
band_A,11 mm steel,11,83.6,5.417,29.5,0.8,0.268,1.08,10.591182,,0.15980149999999999,0.532,2.817254412,2.357072125,0.8366557578045245
band_A,11 mm steel,12,83.6,5.417,29.5,0.8,0.268,1.08,10.591182,,0.15980149999999999,0.532,2.817254412,2.357072125,0.8366557578045245
band_A,11 mm steel,13,83.6,5.417,29.4,0.8,0.268,1.08,10.591182,,0.15925979999999998,0.532,2.817254412,2.3411190599999996,0.8309931293489441
band_A,11 mm steel,14,83.6,5.417,29.3,0.8,0.268,1.08,10.591182,,0.1587181,0.532,2.817254412,2.325220165,0.8253497288337905
band_A,11 mm steel,15,83.8,5.43,29.3,0.8,0.268,1.08,10.591182,,0.159099,0.532,2.817254412,2.33080035,0.8273304462926865
band_A,11 mm steel,16,83.6,5.417,29.3,0.8,0.268,1.08,10.591182,,0.1587181,0.532,2.817254412,2.325220165,0.8253497288337905
band_A,11 mm steel,17,83.8,5.43,29.3,0.8,0.268,1.08,10.591182,,0.159099,0.532,2.817254412,2.33080035,0.8273304462926865
band_A,11 mm steel,18,83.8,5.43,29.2,0.8,0.268,1.08,10.591182,,0.158556,0.532,2.817254412,2.3149176,0.8216927765343756
band_A,11 mm steel,19,83.6,5.417,29.3,0.8,0.268,1.08,10.591182,,0.1587181,0.532,2.817254412,2.325220165,0.8253497288337905
band_A,11 mm steel,20,83.8,5.43,29.3,0.8,0.268,1.08,10.591182,,0.159099,0.532,2.817254412,2.33080035,0.8273304462926865
band_A,10 mm steel,1,63.0,4.082,33.0,0.8,0.268,1.08,10.591182,,0.134706,0.532,2.817254412,2.2226489999999997,0.7889415277983775
band_A,10 mm steel,2,63.1,4.089,32.9,0.8,0.268,1.08,10.591182,,0.1345281,0.532,2.817254412,2.212987245,0.7855120345446458
band_A,10 mm steel,3,63.1,4.089,32.8,0.8,0.268,1.08,10.591182,,0.13411920000000002,0.532,2.817254412,2.19955488,0.7807441424640494
band_A,10 mm steel,4,63.0,4.082,32.9,0.8,0.268,1.08,10.591182,,0.1342978,0.532,2.817254412,2.2091988099999997,0.7841673086356674
band_A,10 mm steel,5,63.0,4.082,32.9,0.8,0.268,1.08,10.591182,,0.1342978,0.532,2.817254412,2.2091988099999997,0.7841673086356674
band_A,10 mm steel,6,63.0,4.082,32.9,0.8,0.268,1.08,10.591182,,0.1342978,0.532,2.817254412,2.2091988099999997,0.7841673086356674
band_A,10 mm steel,7,63.1,4.089,32.9,0.8,0.268,1.08,10.591182,,0.1345281,0.532,2.817254412,2.212987245,0.7855120345446458
band_A,10 mm steel,8,63.1,4.089,32.9,0.8,0.268,1.08,10.591182,,0.1345281,0.532,2.817254412,2.212987245,0.7855120345446458
band_A,10 mm steel,9,63.1,4.089,32.8,0.8,0.268,1.08,10.591182,,0.13411920000000002,0.532,2.817254412,2.19955488,0.7807441424640494
band_A,10 mm steel,10,63.1,4.089,32.8,0.8,0.268,1.08,10.591182,,0.13411920000000002,0.532,2.817254412,2.19955488,0.7807441424640494
band_A,10 mm steel,11,63.0,4.082,32.8,0.8,0.268,1.08,10.591182,,0.13388959999999997,0.532,2.817254412,2.1957894399999995,0.7794075787572143
band_A,10 mm steel,12,63.0,4.082,32.9,0.8,0.268,1.08,10.591182,,0.1342978,0.532,2.817254412,2.2091988099999997,0.7841673086356674
